,Customer_id,Name,email,membership_age,revenue,Preferred_film_languages,preferred_film_category,city,preferred_film_year
0,1,MARY SMITH,MARY.SMITH@sakilacustomer.org,0,118.67999999999992,English,,463,00s
1,2,PATRICIA JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,0,128.72999999999993,English,,449,00s
2,3,LINDA WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,0,135.73999999999998,English,,38,00s
3,4,BARBARA JONES,BARBARA.JONES@sakilacustomer.org,0,81.78,English,,349,00s
4,5,ELIZABETH BROWN,ELIZABETH.BROWN@sakilacustomer.org,0,144.61999999999998,English,,361,00s
5,6,JENNIFER DAVIS,JENNIFER.DAVIS@sakilacustomer.org,0,93.71999999999998,English,,295,00s
6,7,MARIA MILLER,MARIA.MILLER@sakilacustomer.org,0,151.67,English,,280,00s
7,8,SUSAN WILSON,SUSAN.WILSON@sakilacustomer.org,0,92.75999999999999,English,,200,00s
8,9,MARGARET MOORE,MARGARET.MOORE@sakilacustomer.org,0,89.76999999999998,English,,329,00s
9,10,DOROTHY TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,0,99.74999999999997,English,,162,00s
10,11,LISA ANDERSON,LISA.ANDERSON@sakilacustomer.org,0,106.75999999999996,English,,440,00s
11,12,NANCY THOMAS,NANCY.THOMAS@sakilacustomer.org,0,103.71999999999998,English,,582,00s
12,13,KAREN JACKSON,KAREN.JACKSON@sakilacustomer.org,0,131.72999999999996,English,,384,00s
13,14,BETTY WHITE,BETTY.WHITE@sakilacustomer.org,0,117.71999999999994,English,,120,00s
14,15,HELEN HARRIS,HELEN.HARRIS@sakilacustomer.org,0,134.67999999999995,English,,76,00s
15,16,SANDRA MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,120.70999999999995,English,,495,00s
16,17,DONNA THOMPSON,DONNA.THOMPSON@sakilacustomer.org,0,98.78999999999998,English,,156,00s
17,18,CAROL GARCIA,CAROL.GARCIA@sakilacustomer.org,0,91.77999999999999,English,,252,00s
18,19,RUTH MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,0,125.75999999999998,English,,267,00s
19,20,SHARON ROBINSON,SHARON.ROBINSON@sakilacustomer.org,0,115.69999999999995,English,,327,00s
20,21,MICHELLE CLARK,MICHELLE.CLARK@sakilacustomer.org,0,155.65,English,,525,00s
21,22,LAURA RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,0,113.77999999999999,English,,443,00s
22,23,SARAH LEWIS,SARAH.LEWIS@sakilacustomer.org,0,119.69999999999996,English,,303,00s
23,24,KIMBERLY LEE,KIMBERLY.LEE@sakilacustomer.org,0,95.74999999999999,English,,128,00s
24,25,DEBORAH WALKER,DEBORAH.WALKER@sakilacustomer.org,0,115.70999999999995,English,,472,00s
25,26,JESSICA HALL,JESSICA.HALL@sakilacustomer.org,0,152.65999999999997,English,,121,00s
26,27,SHIRLEY ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,0,126.68999999999996,English,,138,00s
27,28,CYNTHIA YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,0,111.67999999999995,English,,346,00s
28,29,ANGELA HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,0,140.63999999999996,English,,474,00s
29,30,MELISSA KING,MELISSA.KING@sakilacustomer.org,0,123.65999999999993,English,,316,00s
